modelo,accuracy,precision,recall,f1,roc_auc,average_precision,contactos,abandono_capturado,precision_top,recall_top,lift_top,churn_esperado_azar
Dummy,0.8980714285714285,0.0,0.0,0.0,0.5,0.10192857142857142,1400,147,0.105,0.10301331464611072,1.0301331464611072,142.7
k-NN,0.9266428571428571,0.6996007984031936,0.4912403644008409,0.5771922601893783,0.8397136476307028,0.5402158973694313,1400,818,0.5842857142857143,0.5732305536089699,5.732305536089699,142.7
Regresión logística,0.9299285714285714,0.7680288461538461,0.4477925718290119,0.5657370517928287,0.8956690265917818,0.6397440202211137,1400,853,0.6092857142857143,0.5977575332866153,5.977575332866153,142.7
