fraccion_revision,solicitudes,revisiones,fraudes_capturados,fraudes_totales,legitimas_revisadas,precision_top,recall_top,fpr_top,lift_top,fraudes_esperados_azar,horas_revision
0.01,205011,2051,508,2878,1543,0.2476840565577767,0.17651146629603892,0.007633587786259542,17.643487185186366,28.792694567633312,341.8333333333333
0.03,205011,6152,1016,2878,5136,0.16514954486345904,0.35302293259207784,0.02540901287765976,11.764236741488048,86.36333818696176,1025.3333333333333
0.05,205011,10252,1315,2878,8937,0.12826765509168941,0.4569145239749826,0.04421346341270352,9.136997997916032,143.92057673270097,1708.6666666666667
0.1,205011,20502,1798,2878,18704,0.0876987610964784,0.6247394023627519,0.09253313412456154,6.247119774548343,287.8130028758746,3417.0
