modelo,accuracy,precision,recall,f1,fpr,roc_auc,average_precision,tasa_alertas,solicitudes,revisiones,fraudes_capturados,fraudes_totales,legitimas_revisadas,precision_top,recall_top,fpr_top,lift_top,fraudes_esperados_azar,segundos
Dummy,0.9881749536971078,0.0,0.0,0.0,0.0,0.5,0.01182504630289215,0.0,119323,5967,82,1411,5885,0.013742249036366684,0.058114812189936214,0.04991010244928421,1.162130674533226,70.56005128935746,0.6088174000033177
k-NN,0.9880660057155787,0.2903225806451613,0.0063784549964564135,0.012482662968099861,0.00018657982224031482,0.5892252394595324,0.029864382951670917,0.0002597990328771486,119323,5967,312,1411,5655,0.05228758169934641,0.221119773210489,0.04795949521677183,4.421765493345933,70.56005128935746,8.04883030000201
Regresión logística,0.9882000955389992,0.8,0.002834868887313962,0.005649717514124294,8.480901010923401e-06,0.8727031664450693,0.14599519979385328,4.190306981889493e-05,119323,5967,668,1411,5299,0.11194905312552371,0.47342310418143163,0.0449402944568831,9.467113299856036,70.56005128935746,0.7110105000028852
Árbol de decisión,0.9881749536971078,0.0,0.0,0.0,0.0,0.799719486535599,0.07604301774544225,0.0,119323,5967,518,1411,5449,0.08681079269314564,0.36711552090715804,0.04621242960852161,7.3412645049781835,70.56005128935746,1.199021199994604
